Drug Name,BW,C,W,P,AR,PPI-MG,Month
Aggrenox (aspirin/extended release dipyridamole) 25 mg/200 mg Capsules,,,,,,,9/1/2012
Agrylin (anagrelide hydrochloride) 0.5 mg capsules,,,,,,,7/1/2009
Agrylin (anagrelide hydrochloride) Capsule,,,,,,,11/1/2011
Agrylin (anagrelide hydrochloride) Capsules,,,,,,,2/1/2014
Agrylin (anagrelide hydrochloride) Capsules,,,X,X,,,10/1/2014
Agrylin (anagrelide hydrochloride) Capsules,,,,,,,7/1/2013
Agrylin (anagrelide hydrochloride) Capsules,,,,,,,1/1/2011
Albenza (albendazole) 1 200 mg tablets,,,,,,,10/1/2009
Aldactazide (spironolactone/hydrochlorothiazide) Tablets,,,X,,,,10/1/2014
Aldactazide (spironolactone/hydrochlorothiazide) Tablets,,,,,,,5/1/2011
Aldactazide (spironolactone/hydrochlorothiazide) tablets,,,,,,,9/1/2011
"Aldactazide (spironolctone/hydrochlorothiazide) 25/25 mg, and 50/50 mg Tablets",,,,,,,1/1/2014
Aldactone (spironolactone) Tablets,,,X,,,,10/1/2014
Aldactone (spironolactone) tablets,,,,,,,9/1/2011
Aldara (imiquimod) cream,,,,,,,10/1/2010
Aleve (naproxen sodium) tablets,,,,,,,4/1/2011
"Alimta (pemetrexed disodium) Injection, Powder, Lyophilized for Intravenous Use 100 mg and 500 mg vial",,,,,,,7/1/2009
"Alimta (pemetrexed for injection) for intravenous use, 100 mg and 500 mg vials",,,,,,,9/1/2013
Alli (orlistat) capsules,,,,,,,6/1/2014
Alli (orlistat) capsules,,,,,,,9/1/2010
Aloxi (palonosetron hydrochloride) Injection,,,,,,,2/1/2014
Aloxi (palonosetron hydrochloride) injection,,,,,,,5/1/2014
"Aloxi (palonosetron hydrochloride) Injection 

*Serotonin Syndrome",,,X,X,,PCI,9/1/2014
"Aloxi (palonosetron hydrochloride) Oral Capsules

*Serotonin Syndrome",,,X,X,,PCI,9/1/2014
Alsuma (sumatriptan) injection,,,,,,,6/1/2014
Altabax (retapamulin) ointment,,,,,,,9/1/2010
"Altace (ramipril) 1.25 mg, 2.5 mg, 5 mg, and 10 mg",,,,,,,9/1/2013
Altace (ramipril) capsules,,,,,,,5/1/2014
Altace (ramipril) Capsules,,,,,,,10/1/2013
Altace (ramipril) tablets,,,,,,,11/1/2009
"Altoprev (lovastatin) extended-release tablets; 1 20, 40, and 60 mg",,,,,,,4/1/2014
Amaryl (glimepiride) tablets,,,,,,,10/1/2013
Amaryl (glimepiride) tablets,,,,,,,6/1/2009
Ambien (zolpidem tartrate),,,X,X,,,10/1/2014
Ambien IR and Ambien CR (zolpidem tartrate)tablets,,,,,,,4/1/2010
AmBisome (amphotericin B) liposome for Injection,,,,,,,3/1/2012
Amerge (naratriptan hydrochloride) tablets,,,,,,,10/1/2013
Amerge (naratriptan) Tablets,,,,,,,3/1/2012
Amevive (alefacept),,,,,,,5/1/2012
Amitiza (lubiprostone) Capsule,,,,,,,11/1/2012
Amlodipine besylate/ Benazepril hydrochloride capsule,,,,,,,12/1/2009
"Amoxil (amoxicillin) Chewable Tablets, Tablets and Oral Suspension",,,,,,,11/1/2011
Ampyra (dalfampridine),,,,,,,1/1/2013
"Amturnide (Aliskiren, Amlodipine and Hydrochlorothiazide) Tablets",,,,,,,11/1/2013
"Amturnide (aliskiren/amlodipine besylate/hydrochlorothiazide) Tablets  

*Dual Blockade of the Renin-Angiotensin-Aldosterone System (RAAS)",,,X,X,X,,3/1/2015
Amturnide (amlodipine/aliskiren/hydrochlorothiazide) Tablets,,,,,,,10/1/2011
Amyvid (Florbetapir F 18 Injection),,,,,,,12/1/2013
"Anaprox, Anaprox DS (naproxen sodium tablets)",,,,,,,3/1/2013
Ancobon (flucytosine) 250 mg and 500 mg Capsules,,,,,,,5/1/2009
"Androderm (testosterone) Transdermal System 

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
AndroGel (testosterone gel),,,,,,,11/1/2011
AndroGel (testosterone gel) 1% for topical use,,,,,,,9/1/2009
AndroGel (testosterone gel) 1.62%,,,,,,,9/1/2012
AndroGel (testosterone) 1% gel,,,,,,,3/1/2011
"AndroGel (testosterone) Gel

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
Anzemet (dolasetron mesylate),,,,,,,9/1/2013
"Anzemet (dolasetron mesylate) injection, 1 20 mg/mL

*Serotonin Syndrome",,,X,X,,PCI,9/1/2014
Anzemet (dolasetron mesylate) tablet and injection,,,,,,,10/1/2009
Anzemet (dolasetron mesylate) tablets and Anzemet (dolasetron mesylate) injection,,,,,,,9/1/2011
"Anzemet (dolasetron mesylate) tablets, 50 mg and 100 mg

*Serotonin Syndrome",,,X,X,,PCI,9/1/2014
Apidra (insulin glulisine [rDNA origin]) injection,,,,,,,5/1/2014
Apidra (insulin glulisine [rDNA origin]) injection,,,,,,,9/1/2013
"Apidra (insulin glulisine [rDNA origin]) injection 

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Aplenzin (bupropion hydrobromide) Extended-Release Tablets,,,,,,,4/1/2011
Apokyn (apomorphine hydrochloride) injection,,,,,,,9/1/2010
Aptivus (tipranavir) 250 mg capsules and 100 mg/mL oral solution,,,,,,,6/1/2009
Aptivus (tipranavir) Capsules and Oral Solution,,,,,,,2/1/2012
Aptivus (tipranavir) Capsules and Oral Solution,,,,,,,4/1/2011
"Aptivus (tipranavir) capsules, 250 mg, and Aptivus (tipranavir) oral solution, 100 mg/mL",,,,,,,4/1/2014
"Aptivus (tipranavir) Capsules, Oral Solution 

*HIV protease inhibitor drug-drug interactions",,,,,,,3/1/2015
Aralen (Chloroquine Phosphate) Tablets,,,,,,,11/1/2013
"Aralen (chloroquine phosphate, USP) 500 mg tablets",,,,,,,6/1/2009
Arava (leflunomide) Tablets,,X,X,X,X,,11/1/2014
Arava (leflunomide) Tablets,,,,,,,11/1/2012
Arava (leflunomide) Tablets,,,,,,,7/1/2011
Arava (leflunomide) tablets,,,,,,,9/1/2010
Arcapta Neohaler (indacaterol maleate) Inhalation Powder 75 mcg,,,,,,,9/1/2012
Aredia (pamidronate disodium) for Injection,,,,,,,5/1/2012
Aredia (pamidronate disodium) for injection,,,,,,,3/1/2011
Arimidex (anastrozole) tablets,,,,,,,5/1/2014
Arimidex (anastrozole) Tablets,,,,,,,4/1/2011
"Arimidex (anastrozole) Tablets, 1 mg",,,,,,,5/1/2013
Aristocort Forte (triamcinolone diacetate) injectable suspension,,,,,,,1/1/2010
Arixtra (fondaparinux sodium) injection,,,,,,,9/1/2013
Arixtra (fondaparinux sodium) injection,,,,,,,3/1/2010
Arixtra (fondaparinux sodium) injection,,,,,,,8/1/2009
Arixtra (fondaparinux sodium) injection,,,,,,,12/1/2009
Arixtra (fondaparinux sodium) Solution for Injection,,,,,,,7/1/2014
Aromasin (exemestane) oral tablets,,,,,,,5/1/2014
Aromasin (exemestane) tablets,,,,,,,3/1/2011
Arranon (nelarabine) injection,,,,,,,12/1/2009
Arthrotec (diclofenac sodium/misoprostol) Oral Tablets,,,X,,X,,4/1/2015
Arthrotec (diclofenac sodium/misoprostol) Oral Tablets,,X,X,X,X,,9/1/2014
Arthrotec (diclofenac sodium/misoprostol) Oral Tablets,,,,,,,3/1/2013
Arthrotec (diclofenac sodium/misoprostol) oral tablets,,,,,,,12/1/2010
Arthrotec (diclofenac sodium/misoprostol) oral tablets,,,,,,,9/1/2009
Artiss (Fibrin Sealant),,,,,,,4/1/2010
Arzerra (ofatumumab) Injection,,,,,,,9/1/2013
Asacol (mesalamine) 400 mg and Asacol HD (mesalamine) 800 mg delayed-release tablets,,,,,,,5/1/2010
Asacol (mesalamine) 400 mg delayed-release tablets,,,,,,,9/1/2009
Asacol (mesalamine) Delayed-release Tablets,,,,X,,,5/1/2015
Asmanex Twisthaler (mometasone furoate) inhalation powder,,,,,,,9/1/2010
Astagraf XL (tacrolimus extended-release capsules),,,,,,,2/1/2014
Astelin (azelastine) Nasal Spray,,,,,,,1/1/2012
Astepro (azelastine hydrochloride) Nasal Spray,,,,,,,1/1/2011
Atacand (candesartan cilexetil) Tablets,,,,X,,,2/1/2015
Atacand HCT (candesartan cilexetil/hydrochlorothiazide) Tablets,,,,X,,,2/1/2015
Atacand HCT (candesartan cilexitil/hydrochlorothiazide) tablets,,,,,,,3/1/2011
"Atelvia (risedronate sodium) Delayed-release Tablets

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
"Atelvia (risedronate sodium) Delayed-release Tablets
Actonel with Calcium (risedronate sodium tablets with calcium carbonate) Tablets
Actonel (risedronate sodium) Tablets",,X,,,X,,3/1/2015
Atripla (efavirenz/emtricitabine/tenofovir disoproxil fumarate) tablets,,,,,,,9/1/2011
Atripla (efavirenz/emtricitabine/tenofovir disoproxil fumarate) tablets,,,,,,,1/1/2010
Atripla (efavirenz/emtricitabine/tenofovir disoproxil fumarate) tablets,,,,,,,8/1/2010
Atripla Tablets (efavirenz/emtricitabine/tenofovir disoproxil fumarate),,X,X,X,,,1/1/2015
"Augmentin (amoxicillin/clavulanate potassium) Tablets, 250 mg/125mg and 500 mg/125 mg
Augmentin (amoxicillin/clavulanate potassium) Powder for Oral Suspension
Augmentin (amoxicillin/clavulanate potassium) Chewable Tablets
Augmentin (amoxicillin/clavulanate potassium) Tablets, 875mg/125 mg
Augmentin (amoxicillin/clavulanate potassium) Oral Suspension
Augmentin (amoxicillin/clavulanate potassium) Chewable Tablets",,,,,,,1/1/2013
Augmentin ES-600 (amoxicillin/clavulanate potassium) Powder for Oral Suspension and Extended Release Tablets,,,,,,,8/1/2011
Augmentin XR (amoxicillin/clavulanate potassium) extended release tablets,,,,,,,8/1/2010
Avagard Surgical and Healthcare Personnel Hand Antiseptic (chlorhexidine gluconate 1% solution and ethyl alcohol 61% w/w) Lotion,,,,,,,5/1/2012
Avalide (irbesartan and hydrochlorothiazide) tablets,,,,,,,6/1/2014
Avalide (irbesartan/hydrochlorothiazide),,,,,,,5/1/2014
Avandaryl (rosiglitazone maleate and glimepiride) Tablets,,X,X,X,X,,3/1/2015
Avandaryl (rosiglitazone maleate and glimepiride) tablets,,,,,,,11/1/2009
"Avandia (rosiglitazone maleate) tablets
Avandaryl (rosiglitazone maleate and glimepiride) tablets
Avandamet (rosiglitazone maleate and metformin hydrochloride) tablets",,,,,,,5/1/2014
"Avandia (rosiglitazone maleate)
Avandamet (rosiglitazone maleate/metformin hydrochloride)
Avandaryl (rosiglitazone maleate/glimepiride) Tablets",,,,,,,5/1/2011
Avapro (irbesartan),,,,,,,5/1/2014
Avapro (irbesartan) Tablets,,,,,,,12/1/2011
Avastin (bevacizumab),,,,,,,3/1/2013
Avastin (bevacizumab),,,,,,,12/1/2013
Avastin (bevacizumab),,,,,,,5/1/2012
Avastin (bevacizumab),,,,,,,9/1/2011
Avastin (bevacizumab) Solution for Intravenous Infusion,,,X,X,,,5/1/2015
Avastin (bevacizumab) Solution for intravenous infusion,,,,,,,8/1/2014
Avastin (bevacizumab) Solution for intravenous infusion,,,,,,,12/1/2011
"Aveed (testosterone undecanoate) Injection

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
AVELOX (moxifloxacin hydrochloride) 400 mg Tablets and AVELOX (moxifloxacin hydrochloride in sodium chloride injection) IV,,,X,X,,,11/1/2014
Avelox (moxifloxacin hydrochloride) Tablets and IV,,,,,,,10/1/2011
Avelox (moxifloxacin) IV and tablets,,,,,,,11/1/2009
Avelox (moxifloxacin) tablets and I.V.,,,,,,,3/1/2010
Avodart (dutasteride) soft gelatin capsules,,,,,,,6/1/2011
Avodart (dutasteride) soft gelatin capsules,,,,,,,6/1/2010
Axert (almotriptan malate) Tablets for Oral Use,,,,,,,8/1/2014
"Axiron (testosterone) Topical Solution

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
AzaSite (azithromycin ophthalmic solution),,,,,,,7/1/2012
Azasite (azithromycin) ophthalmic solution,,,,,,,3/1/2011
Azilect (rasagiline mesylate) tablet,,,,,,,5/1/2014
Azor (amlodipine and olmesartan medoxomil) Tablets,,,,,,,5/1/2011
Azor (amlodipine and olmesartan medoxomil) Tablets,,,,,,,10/1/2011
"Azor (amlodipine and olmesartan medoxomil) tablets, for oral use",,,,,,,7/1/2014
"Azor (amlodipine/olmesartan medoxomil) 5/20 mg, 10/20 mg, 5/40 mg, and 10/40 mg Tablets 

* RAS Dual Blockade",,,,X,,,9/1/2014
"Azulfidine (sulfasalazine tablets, USP) and Azulfidine EN-Tablets (sulfasalazine delayed release tablets, USP)",,,,,,,3/1/2014
Azulfidine (sulfasalazine) and Azulfidine EN  (sulfasalazine delayed release) tablets,,,,,,,10/1/2009
"Azulfidine EN-Tablets (sulfasalazine delayed release tablets, USP)",,,,,,,7/1/2013
Bactrim and Bactrim DS Tablets,,,,,,,7/1/2013
Baraclude (entecavir) tablets and oral solution,,,,,,,7/1/2009
"Benicar (olmesartan medoxomil) 5 mg, 1 20 mg, and 40 mg Tablets

* RAS Dual Blockade",,,,X,,,9/1/2014
Benicar (olmesartan medoxomil) Tablets,,,,,,,2/1/2012
Benicar (olmesartan medoxomil) Tablets,,,,,,,5/1/2011
"Benicar HCT (olmesartan medoxomil/hydrochlorothiazide) 1 20/12.5 mg, and 40.12.5 mg, and 40/25 mg Tablets 

* RAS Dual Blockade",,,,X,,,9/1/2014
Benicar HCT (olmesartan medoxomil/hydrochlorothiazide) Tablets,,,,,,,5/1/2011
Benlysta (belimumab),,,,,,,4/1/2014
Benlysta (belimumab),,,,,,,12/1/2013
Benlysta (belimumab),,,,,,,3/1/2012
"Bentyl (dicyclomine hydrochloride, USP) Capsules/Tablets 10 mg, 1 20 mg
Bentyl (dicyclomine hydrochloride, USP) Injection 10 mg/mL",,,,,,,1/1/2013
"Bentyl (dicyclomine hydrochloride, USP) Capsules/Tablets, Oral Syrup and Injection",,,,,,,8/1/2011
"Bentyl (dicyclomine hydrochloride, USP) Capsules/Tablets, Oral Syrup, Injection",,,,,,,7/1/2011
BenzaClin Topical Gel (clindamycin 1%- benzoyl peroxide gel 5%),,,,,,,6/1/2009
Bepreve (bepotastine besilate) 1.5% ophthalmic solution,,,,,,,6/1/2012
Betapace (sotalol hydrochloride) and Betapace AF (sotalol hydrochloride) Tablets,,,,,,,2/1/2011
"Biaxin (clarithromycin) filmtabs, granules, and XL filmtabs",,,,,,,8/1/2009
"Biaxin (clarithromycin) tabs, granules, XL Filmtabs",,,X,,,,1/1/2015
"Biaxin Filmtab (clarithromycin tablets, USP)
Biaxin XL Filmtab (clarithromycin extended-release tablets)
Biaxin Granules (clarithromycin for oral suspension, USP)",,,,,,,5/1/2011
"Biaxin Filmtabs (clarithromycin tablets) 
Biaxin Granules (clarithromycin for oral suspension, USP)
Biaxin XL Filmtabs (clarithromycin extended release tablets)",,,,,,,7/1/2012
"Biaxin Filmtabs (clarithromycin tablets, USP) 
Biaxin Filmtabs (clarithromycin tablets, USP) 
Biaxin Granules (clarithromycin for oral suspension, USP) 
Biaxin XL Filmtabs (clarithromycin extended release tablets)",,,,,,,9/1/2013
"Biaxin Filmtabs (clarithromycin tablets, USP) 
Biaxin Granules (clarithromycin for oral suspension USP) 
Biaxin XL Filmtabs (clarithromycin extended release tablets)",,,,,,,7/1/2014
Bicillin L-A (penicillin G benzathine) and Bicillin CR (penicillin G benzathine and penicillin G procaine) injectable suspensions,,,,,,,12/1/2009
BiCNU (carmustine for injection),,,,,,,8/1/2011
Bicnu (carmustine) for injection,,,,,,,3/1/2011
Bidil (isosorbide dinitrate/hydralazine hydrochloride) Tablets,,X,,X,,,4/1/2015
Biltricide (praziquantel) Tablets,,,,,,,2/1/2014
Biltricide (praziquantel) tablets,,,,,,,8/1/2010
Binosto (alendronate sodium) Effervescent Tablets for Oral Solution,,,,X,,,2/1/2015
"Binosto (alendronate sodium) Effervescent Tablets for Oral Solution

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
"Boniva (ibandronate sodium) Injection

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
Boniva (ibandronate sodium) Tablets,,,,,X,,3/1/2015
Boniva (ibandronate sodium) tablets,,,,,,,1/1/2010
"Boniva (ibandronate sodium) Tablets

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
Bosulif (bosutinib) Tablets,,,X,X,,,11/1/2014
"Bosulif (bosutinib) Tablets, 100 mg and 500 mg",,,,,,,9/1/2013
"Bravelle (urofollitropin for injection, purified)",,,,,,,2/1/2014
BreathID System 13C-Urea Breath Test,,,X,X,,,10/1/2014
Breo Ellipta (fluticasone furoate and vilanterol) inhalation powder,,,X,X,,PCI,3/1/2015
Brilinta (ticagrelor) 90 mg Tablets,,,,,,,1/1/2013
Brilinta (ticagrelor) Tablets,,,,,,,3/1/2013
Brilinta (ticagrelor) Tablets,,,,,,,12/1/2013
"Brisdelle (paroxetine) capsules, for oral use",,,X,X,X,"PCI, MG",12/1/2014
Brovana (arformoterol tartrate) Inhalation Solution,,,,,,,2/1/2014
Brovana (arformoterol) Inhalation Solution,,,,,,,2/1/2011
Brovana Inhalation Solution (arformoterol tartrate),,,,,,,6/1/2010
Bumex (bumetanide) tablets,,,,,,,1/1/2010
Busulfex (busulfan) Injection,,,,,,PCI,1/1/2015
Bydureon (exenatide extended-release) for Injectable Suspension,X,,X,X,,,3/1/2015
Bydureon (exenatide extended-release) for injectable suspension,,,,,,,5/1/2014
Byetta (exenatide) injection,,,,,,,10/1/2011
Byetta (exenatide) Injection,,,,,,,11/1/2010
Byetta (exenatide) injection,,,,,,,10/1/2009
Byetta (exenatide) injection,,,,,,,11/1/2009
"Byetta (exenatide) injection 

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Bystolic (nebivolol) tablets,,,,,,,2/1/2010
Caduet (amlodipine besylate/atorvastatin calcium) tablet,,,,,,,3/1/2010
Caduet (amlodipine besylate/atorvastatin calcium) tablets,,,,,,,2/1/2010
Caduet (amlodipine besylate/atorvastatin calcium) tablets,,,,,,,7/1/2009
Caduet (amlodipine/atorvastatin) Tablets,,,,,,,7/1/2012
Caduet (atorvastatin calcium/amlodipine besylate) Tablets,,,,,X,,2/1/2015
Caduet (atorvastatin/amlodipine) Tablets,,,,X,X,,3/1/2015
Caduet (Atorvastatin/Amlodipine) Tablets,,,,,,,11/1/2013
Calan (verapamil hydrochloride) tablets,,,,,,,7/1/2009
Campath (alemtuzumab) Injection for intravenous use,,,,,,,5/1/2009
Camptosar (irinotecan HCl) injection,,,,,,,5/1/2010
Camptosar (irinotecan hydrochloride) Intravenous Injection,,,,X,,,12/1/2014
Canasa (mesalamine) Rectal Suppository,,,,,,,12/1/2013
Cancidas (caspofungin acetate),,,,,,,1/1/2013
Cancidas (caspofungin acetate) 50mg/vial and 70 mg/vial for Injection,,,,,,,6/1/2009
Cancidas (caspofungin acetate) for injection,,,,,,,1/1/2010
Cancidas (caspofungin acetate) for Injection,,,,,,,10/1/2010
Cancidas (caspofungin acetate) Injection,,,,,X,,10/1/2014
"Capoten (Captopril Tablets, USP)",,,,X,,,12/1/2014
Capoten (captopril) Tablets,,,,,,,5/1/2011
Caprelsa (vandetanib),,,,,,,3/1/2014
Caprelsa (vandetanib),,,,,,,7/1/2013
Carafate (sucralfate) Suspension,,,,,,,3/1/2013
Carafate (sucralfate) suspension,,,,,,,12/1/2010
Carafate (sucralfate) Tablets,,,,,,,3/1/2013
Carbatrol (carbamazepine) Extended Release Capsules,,,,,,,3/1/2013
Carbatrol (carbamazepine) Extended-Release Capsules,,,,,,,1/1/2011
